"SKU","Name","Category","AvgMonthlyDemand","SafetyStock","ReorderPoint","EOQ","WeeksOfSupply","InventoryValue","InventoryTurns","StockoutRisk","POUrgency","OrderQty","OrderValue"
"01","BHB Ketone Salts","Base","420","87","381","2000","11.1","5902.41","4.6","LOW","STABLE","2000","10860.00"
"02","MethylB Complete+ B Complex","Base","420","87","381","2000","11.1","5000.2","4.6","LOW","STABLE","2000","9200.0"
"03","Electrolyte Blend","Base","420","87","381","2000","11.1","6000.24","4.6","LOW","STABLE","2000","11040.00"
"04","GLP-1 Activator Complex","Base","420","87","381","1500","8.5","6428.16","6.0","LOW","STABLE","1500","11520.00"
"05","Magnesium Synergy Matrix","Base","420","87","381","2000","11.1","4261.04","4.6","LOW","STABLE","2000","7840.00"
"06","NeuroCalm BH4 Complex","Base","420","87","381","2000","11.1","6348.08","4.6","LOW","STABLE","2000","11680.00"
"07","Omega-3 DHA/EPA (Algal)","Base","420","87","381","2000","11.1","5152.38","4.6","LOW","STABLE","2000","9480.00"
"08","ToxiBind Matrix","Base","420","87","381","2000","11.1","4902.37","4.6","LOW","STABLE","2000","9020.00"
"09","Creatine HCL+","Advanced","394","126","493","1250","8.2","8155.86","6.3","LOW","PLANNED","1250","13575.00"
"10","CATALYST+ Energy Multivitamin","Advanced","394","126","493","1000","6.8","8501.08","7.6","LOW","SOON","1000","13580.00"
"11","Replenish NAD+","Advanced","394","126","493","1000","6.8","8782.78","7.6","LOW","SOON","1000","14030.00"
"12","Balance+ Gut Repair","Advanced","394","126","493","1250","8.2","9229.79","6.3","LOW","PLANNED","1250","15362.50"
"13","BLAST+ Nitric Oxide Stack","Advanced","394","126","493","1250","8.2","8869.31","6.3","LOW","PLANNED","1250","14762.50"
"14","NeuroCalm+ (Calm+)","Advanced","394","126","493","1000","6.8","11023.86","7.6","LOW","SOON","1000","17610.00"
"15","RELAX+ Sleep Support","Advanced","394","126","493","1250","8.2","7825.42","6.3","LOW","PLANNED","1250","13025.00"
"16","Clean+ Detox & Liver Health","Advanced","394","126","493","1000","6.8","9377.48","7.6","LOW","SOON","1000","14980.00"
"17","Teloprime+ Telomere Support","Advanced","394","126","493","750","5.5","12099.15","9.4","LOW","URGENT","750","18112.50"
"18","DigestiZorb+ Enzyme Complex","Advanced","394","126","493","1750","10.9","5585.58","4.7","LOW","STABLE","1750","9765.00"
"19","FOCUS+ Nootropic Formula","Advanced","394","126","493","1000","6.8","12150.66","7.6","LOW","SOON","1000","19410.00"
"20","RISE+ Male Testosterone","Advanced","394","126","493","1000","6.8","12858.04","7.6","LOW","SOON","1000","20540.00"
"21","FLEX+ Joint & Inflammation","Advanced","394","126","493","1250","8.2","9552.72","6.3","LOW","PLANNED","1250","15900.00"
"22","IRON+ Red Blood Cell Support","Advanced","394","126","493","1000","6.8","8845.38","7.6","LOW","SOON","1000","14130.00"
"23","NeuroCalm BH4+ (Advanced)","Advanced","394","126","493","1500","9.6","7025.52","5.4","LOW","PLANNED","1500","12030.00"
"24","Histamine Relief Protocol","Advanced","394","126","493","1000","6.8","9396.26","7.6","LOW","SOON","1000","15010.00"
"25","DESIRE+ Female Hormonal","Women","280","112","373","1000","9.4","7209.36","5.5","MEDIUM","PLANNED","1000","11780.00"
"26","Grow+ Pre-Natal Formula","Women","280","112","373","1000","9.4","9302.4","5.5","MEDIUM","PLANNED","1000","15200.0"
"27","Revitalizher Postnatal+","Women","280","112","373","750","7.5","12457.46","6.9","MEDIUM","SOON","750","19185.00"
"28","Thrive+ Post-Natal GLP-1","Women","280","112","373","750","7.5","10533.81","6.9","MEDIUM","SOON","750","16222.50"
"29","Sproutables Infant Tincture","Children","117","33","115","1000","19.5","2585.05","2.6","LOW","STABLE","1000","4850.00"
"30","Sproutables Toddler Tablets","Children","117","33","115","1000","19.5","3592.42","2.6","LOW","STABLE","1000","6740.00"
"31","Sproutables Children Gummies","Children","117","33","115","1000","19.5","3917.55","2.6","LOW","STABLE","1000","7350.00"
"32","ACAT+ Mitochondrial Support","SNP","142","77","242","800","14.5","5824.17","3.6","HIGH","STABLE","800","9768.00"
"33","ACHY+ Acetylcholine Support","SNP","142","77","242","600","11.5","6974.5","4.5","HIGH","PLANNED","600","11100.0"
"34","ADO Support+ Purine Metabolism","SNP","142","77","242","600","11.5","5104.58","4.5","HIGH","PLANNED","600","8124.00"
"35","BHMT+ Methylation Support","SNP","142","77","242","600","11.5","5327.01","4.5","HIGH","PLANNED","600","8478.00"
"36","CBS Support+ Sulfur Pathway","SNP","142","77","242","800","14.5","6162.84","3.6","HIGH","STABLE","800","10336.00"
"37","COMT+ Neurotransmitter Balance","SNP","142","77","242","600","11.5","5704.01","4.5","HIGH","PLANNED","600","9078.00"
"38","DAO+ Histamine Balance","SNP","142","77","242","600","11.5","5590.91","4.5","HIGH","PLANNED","600","8898.00"
"39","GST+ Cellular Detox","SNP","142","77","242","600","11.5","7717.19","4.5","HIGH","PLANNED","600","12282.00"
"40","MAOA+ Neurochemical Balance","SNP","142","77","242","600","11.5","7671.95","4.5","HIGH","PLANNED","600","12210.00"
"41","MTHFR+ Folate Metabolism","SNP","142","77","242","600","11.5","6959.42","4.5","HIGH","PLANNED","600","11076.00"
"42","MTR+ Methylation Matrix","SNP","142","77","242","600","11.5","6235.58","4.5","HIGH","PLANNED","600","9924.00"
"43","MTRR+ Methylcobalamin Regen","SNP","142","77","242","600","11.5","6130.02","4.5","HIGH","PLANNED","600","9756.00"
"44","NAT Support+ Acetylation","SNP","142","77","242","600","11.5","7310.03","4.5","HIGH","PLANNED","600","11634.00"
"45","NOS+ Vascular Integrity","SNP","142","77","242","600","11.5","6288.36","4.5","HIGH","PLANNED","600","10008.00"
"46","RFC1 Support+ Folate Transport","SNP","142","77","242","600","11.5","5609.76","4.5","HIGH","PLANNED","600","8928.00"
"47","SHMT+ Glycine-Folate Balance","SNP","142","77","242","800","14.5","5714.46","3.6","HIGH","STABLE","800","9584.00"
"48","SOD+ Antioxidant Defense","SNP","142","77","242","600","11.5","6126.25","4.5","HIGH","PLANNED","600","9750.00"
"49","SUOX+ Sulfite Clearance","SNP","142","77","242","600","11.5","5443.88","4.5","HIGH","PLANNED","600","8664.00"
"50","TCN2+ B12 Transport","SNP","142","77","242","600","11.5","5572.06","4.5","HIGH","PLANNED","600","8868.00"
"51","VDR+ Receptor Activation","SNP","142","77","242","600","11.5","5783.18","4.5","HIGH","PLANNED","600","9204.00"
"52","Chaga Mushroom Capsules","Mushroom","172","42","202","1000","13.6","5295.34","3.8","LOW","STABLE","1000","9770.00"
"53","Cordyceps Mushroom Capsules","Mushroom","172","42","202","1000","13.6","5295.34","3.8","LOW","STABLE","1000","9770.00"
"54","Lions Mane Mushroom Capsules","Mushroom","172","42","202","1000","13.6","4124.62","3.8","LOW","STABLE","1000","7610.00"
"55","Reishi Mushroom Capsules","Mushroom","172","42","202","1000","13.6","3831.94","3.8","LOW","STABLE","1000","7070.00"
"56","Turkey Tail Mushroom Capsules","Mushroom","172","42","202","1000","13.6","3831.94","3.8","LOW","STABLE","1000","7070.00"
"57","Genetic Methylation Testing","Testing","211","59","108","250","3.8","29417.92","13.8","MEDIUM","SOON","250","39970.00"
"58","Genetic Nutrition Test","Testing","211","59","108","200","3.2","36391.92","15.9","MEDIUM","URGENT","200","45776.00"
"59","Dutch Hormone Test","Testing","211","59","108","200","3.2","31621.92","15.9","MEDIUM","URGENT","200","39776.00"
"60","EpiGenDX","Testing","211","59","108","200","3.2","47521.92","15.9","MEDIUM","URGENT","200","59776.00"
"61","Combo Test (Meth+Nutr+Dutch)","Testing","211","59","108","150","2.7","44086","18.9","MEDIUM","URGENT","150","49350"
"62","30 Day Custom Vitamin Package","Testing","211","59","108","350","4.8","15210","10.8","MEDIUM","PLANNED","350","22750"
