"SKU","Name","Category","Tier","CompositeScore","DTCMargin","ViableChannels","Actions"
"01","BHB Ketone Salts","Base","Star","78.7","92.1%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"02","MethylB Complete+ B Complex","Base","Core","74.2","90.6%","3","BUNDLE CANDIDATE - strong across all channels"
"03","Electrolyte Blend","Base","Core","73.0","88.7%","3","BUNDLE CANDIDATE - strong across all channels"
"04","GLP-1 Activator Complex","Base","Star","81.8","91.4%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"05","Magnesium Synergy Matrix","Base","Star","77.6","93.3%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"06","NeuroCalm BH4 Complex","Base","Star","83.0","93.4%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"07","Omega-3 DHA/EPA (Algal)","Base","Core","73.9","90.3%","3","BUNDLE CANDIDATE - strong across all channels"
"08","ToxiBind Matrix","Base","Core","74.3","90.8%","3","BUNDLE CANDIDATE - strong across all channels"
"09","Creatine HCL+","Advanced","Core","74.3","89%","3","BUNDLE CANDIDATE - strong across all channels"
"10","CATALYST+ Energy Multivitamin","Advanced","Core","72.7","86.3%","3","BUNDLE CANDIDATE - strong across all channels"
"11","Replenish NAD+","Advanced","Core","74.0","87%","3","BUNDLE CANDIDATE - strong across all channels"
"12","Balance+ Gut Repair","Advanced","Core","73.5","87.6%","3","BUNDLE CANDIDATE - strong across all channels"
"13","BLAST+ Nitric Oxide Stack","Advanced","Core","73.6","88%","3","BUNDLE CANDIDATE - strong across all channels"
"14","NeuroCalm+ (Calm+)","Advanced","Star","75.8","86.3%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"15","RELAX+ Sleep Support","Advanced","Core","72.8","88.3%","3","BUNDLE CANDIDATE - strong across all channels"
"16","Clean+ Detox & Liver Health","Advanced","Core","73.7","86.2%","3","BUNDLE CANDIDATE - strong across all channels"
"17","Teloprime+ Telomere Support","Advanced","Star","82.2","87.2%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"18","DigestiZorb+ Enzyme Complex","Advanced","Core","69.1","88.6%","3","BUNDLE CANDIDATE - strong across all channels"
"19","FOCUS+ Nootropic Formula","Advanced","Star","79.6","87.8%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"20","RISE+ Male Testosterone","Advanced","Core","74.4","84.1%","3","BUNDLE CANDIDATE - strong across all channels"
"21","FLEX+ Joint & Inflammation","Advanced","Core","73.1","87.1%","3","BUNDLE CANDIDATE - strong across all channels"
"22","IRON+ Red Blood Cell Support","Advanced","Core","74.0","87%","3","BUNDLE CANDIDATE - strong across all channels"
"23","NeuroCalm BH4+ (Advanced)","Advanced","Star","84.2","95%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"24","Histamine Relief Protocol","Advanced","Star","81.3","90.6%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"25","DESIRE+ Female Hormonal","Women","Core","70.1","86.7%","3","BUNDLE CANDIDATE - strong across all channels"
"26","Grow+ Pre-Natal Formula","Women","Core","69.7","84.6%","3","BUNDLE CANDIDATE - strong across all channels"
"27","Revitalizher Postnatal+","Women","Core","69.4","80.2%","3","BUNDLE CANDIDATE - strong across all channels"
"28","Thrive+ Post-Natal GLP-1","Women","Core","71.3","83.2%","3","BUNDLE CANDIDATE - strong across all channels"
"29","Sproutables Infant Tincture","Children","Core","68.4","90.1%","3","BUNDLE CANDIDATE - strong across all channels"
"30","Sproutables Toddler Tablets","Children","Core","68.3","88.6%","3","BUNDLE CANDIDATE - strong across all channels"
"31","Sproutables Children Gummies","Children","Core","67.6","87.5%","3","BUNDLE CANDIDATE - strong across all channels"
"32","ACAT+ Mitochondrial Support","SNP","Core","69.8","88.8%","3","BUNDLE CANDIDATE - strong across all channels"
"33","ACHY+ Acetylcholine Support","SNP","Core","66.3","83%","3","BUNDLE CANDIDATE - strong across all channels"
"34","ADO Support+ Purine Metabolism","SNP","Core","69.1","87.6%","3","BUNDLE CANDIDATE - strong across all channels"
"35","BHMT+ Methylation Support","SNP","Core","68.6","87%","3","BUNDLE CANDIDATE - strong across all channels"
"36","CBS Support+ Sulfur Pathway","SNP","Core","69.3","88.1%","3","BUNDLE CANDIDATE - strong across all channels"
"37","COMT+ Neurotransmitter Balance","SNP","Core","68.0","86.1%","3","BUNDLE CANDIDATE - strong across all channels"
"38","DAO+ Histamine Balance","SNP","Core","68.4","86.4%","3","BUNDLE CANDIDATE - strong across all channels"
"39","GST+ Cellular Detox","SNP","Core","66.6","82.8%","3","BUNDLE CANDIDATE - strong across all channels"
"40","MAOA+ Neurochemical Balance","SNP","Core","66.6","82.9%","3","BUNDLE CANDIDATE - strong across all channels"
"41","MTHFR+ Folate Metabolism","SNP","Core","67.7","84.5%","3","BUNDLE CANDIDATE - strong across all channels"
"42","MTR+ Methylation Matrix","SNP","Core","68.6","86.1%","3","BUNDLE CANDIDATE - strong across all channels"
"43","MTRR+ Methylcobalamin Regen","SNP","Core","68.8","86.3%","3","BUNDLE CANDIDATE - strong across all channels"
"44","NAT Support+ Acetylation","SNP","Core","67.1","83.7%","3","BUNDLE CANDIDATE - strong across all channels"
"45","NOS+ Vascular Integrity","SNP","Core","68.5","86%","3","BUNDLE CANDIDATE - strong across all channels"
"46","RFC1 Support+ Folate Transport","SNP","Core","68.3","86.3%","3","BUNDLE CANDIDATE - strong across all channels"
"47","SHMT+ Glycine-Folate Balance","SNP","Core","69.9","89%","3","BUNDLE CANDIDATE - strong across all channels"
"48","SOD+ Antioxidant Defense","SNP","Core","67.4","85.1%","3","BUNDLE CANDIDATE - strong across all channels"
"49","SUOX+ Sulfite Clearance","SNP","Core","68.5","86.7%","3","BUNDLE CANDIDATE - strong across all channels"
"50","TCN2+ B12 Transport","SNP","Core","68.4","86.4%","3","BUNDLE CANDIDATE - strong across all channels"
"51","VDR+ Receptor Activation","SNP","Core","68.0","85.9%","3","BUNDLE CANDIDATE - strong across all channels"
"52","Chaga Mushroom Capsules","Mushroom","Core","66.2","83.4%","3","BUNDLE CANDIDATE - strong across all channels"
"53","Cordyceps Mushroom Capsules","Mushroom","Core","66.2","83.4%","3","BUNDLE CANDIDATE - strong across all channels"
"54","Lions Mane Mushroom Capsules","Mushroom","Core","68.4","87.1%","3","BUNDLE CANDIDATE - strong across all channels"
"55","Reishi Mushroom Capsules","Mushroom","Core","69.0","88%","3","BUNDLE CANDIDATE - strong across all channels"
"56","Turkey Tail Mushroom Capsules","Mushroom","Core","69.0","88%","3","BUNDLE CANDIDATE - strong across all channels"
"57","Genetic Methylation Testing","Testing","Watch","37.0","44.7%","1","REPRICE - DTC margin below 70% floor; CHANNEL REVIEW - viable in fewer than 2 channels; RENEGOTIATE SUPPLY - COGS ratio exceeds 40%"
"58","Genetic Nutrition Test","Testing","Watch","38.3","41.1%","1","REPRICE - DTC margin below 70% floor; CHANNEL REVIEW - viable in fewer than 2 channels; RENEGOTIATE SUPPLY - COGS ratio exceeds 40%"
"59","Dutch Hormone Test","Testing","Watch","54.5","60.9%","1","REPRICE - DTC margin below 70% floor; CHANNEL REVIEW - viable in fewer than 2 channels"
"60","EpiGenDX","Testing","Sunset","29.8","32.5%","0","EVALUATE DISCONTINUATION - margin and channel viability are critically low"
"61","Combo Test (Meth+Nutr+Dutch)","Testing","Core","55.2","52.2%","1","REPRICE - DTC margin below 70% floor; CHANNEL REVIEW - viable in fewer than 2 channels; RENEGOTIATE SUPPLY - COGS ratio exceeds 40%"
"62","30 Day Custom Vitamin Package","Testing","Watch","53.0","67.3%","2","REPRICE - DTC margin below 70% floor"
