sku_number,product_name,ingredient_name,dose_mg,delivery_form,category,dose_unit,sort_order
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Creatine Hydrochloride,2000.0,standard,amino_acid,mg,1
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",HMB-FA (Free Acid),2000.0,standard,other,mg,2
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Beta-Alanine (CarnoSyn®),800.0,standard,amino_acid,mg,3
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",R-Alpha Lipoic Acid,300.0,standard,cofactor,mg,4
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Glycine,100.0,standard,amino_acid,mg,5
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",L-Ergothioneine,12.0,standard,other,mg,6
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",BioPerine® (Black Pepper),10.0,standard,other,mg,7
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Methylfolate (5-MTHF),0.0,standard,vitamin,mcg,8
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Methylcobalamin (B12),0.5,standard,vitamin,mcg,9
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Pyridoxal-5-Phosphate (B6),5.0,standard,vitamin,mg,10
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Riboflavin-5-Phosphate (B2),5.0,standard,vitamin,mg,11
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Thiamine HCL (B1),10.0,standard,vitamin,mg,12
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Niacin (as Niacinamide),15.0,standard,vitamin,mg,13
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Bisglycinate,100.0,standard,mineral,iu,1
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Citrate,75.0,standard,mineral,iu,2
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Malate,75.0,standard,mineral,iu,3
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Orotate,50.0,standard,mineral,iu,4
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Taurate,50.0,standard,mineral,iu,5
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium L-Threonate,50.0,standard,mineral,iu,6
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Methylfolate (5-MTHF),0.8,standard,vitamin,mcg,7
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Methylcobalamin (B12),0.5,standard,vitamin,mcg,8
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Pyridoxal-5-Phosphate (B6),25.0,standard,vitamin,mg,9
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Riboflavin-5-Phosphate (B2),25.0,standard,vitamin,mg,10
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Thiamine HCL (B1),25.0,standard,vitamin,mg,11
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Niacin (as Niacinamide),50.0,standard,vitamin,mg,12
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),NNB DILEUCINE (DL 185™),75.0,standard,amino_acid,mg,13
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Liposomal L-Valine,50.0,liposomal,other,mg,14
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Liposomal L-Methionine,50.0,liposomal,amino_acid,mg,15
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Liposomal L-Tryptophan,50.0,liposomal,amino_acid,mg,16
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,NMN (Nicotinamide Mononucleotide),300.0,standard,cofactor,mg,1
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,Pterostilbene,50.0,standard,botanical,mg,2
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,CoQ10 (Ubiquinol),100.0,standard,cofactor,mg,3
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,PQQ (Pyrroloquinoline Quinone),20.0,standard,cofactor,mg,4
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,Urolithin A,100.0,standard,other,mg,5
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,Calcium Alpha-Ketoglutarate,100.0,standard,mineral,iu,6
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,C15:0 (Pentadecanoic Acid),30.0,standard,lipid,mg,7
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,Spermidine,10.0,standard,other,mg,8
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,Quercetin,25.0,standard,botanical,mg,9
3,Replenish NAD+ (Cellular Energy & Longevity Formula) Capsules,Bioperine® (Black Pepper Extract),5.0,standard,other,mg,10
4,Balance+ Precision Gut Repair & Microbiome Support,Liposomal BPC-157,0.5,liposomal,peptide,mcg,1
4,Balance+ Precision Gut Repair & Microbiome Support,L-Glutamine,100.0,standard,amino_acid,mg,2
4,Balance+ Precision Gut Repair & Microbiome Support,Liposomal N-Acetyl Glucosamine,75.0,liposomal,other,mg,3
4,Balance+ Precision Gut Repair & Microbiome Support,Liposomal Curcumin (95% Curcuminoids),50.0,liposomal,botanical,mg,4
4,Balance+ Precision Gut Repair & Microbiome Support,Liposomal Saccharomyces Boulardii,50.0,liposomal,probiotic,mg,5
4,Balance+ Precision Gut Repair & Microbiome Support,Liposomal Quercetin,30.0,liposomal,botanical,mg,6
4,Balance+ Precision Gut Repair & Microbiome Support,Butyrate (Sodium Butyrate),30.0,standard,enzyme,iu,7
4,Balance+ Precision Gut Repair & Microbiome Support,Zinc Carnosine (PepZin GI®),20.0,standard,mineral,mg,8
4,Balance+ Precision Gut Repair & Microbiome Support,Micellar Aloe Vera Extract (200:1),15.0,micellar,botanical,mg,9
4,Balance+ Precision Gut Repair & Microbiome Support,Micellar Ginger Root Extract (10:1),15.0,micellar,botanical,mg,10
4,Balance+ Precision Gut Repair & Microbiome Support,Micellar Marshmallow Root Extract (10:1),15.0,micellar,other,mg,11
4,Balance+ Precision Gut Repair & Microbiome Support,DigestiZorb+™ Digestive Enzyme Complex,75.0,standard,enzyme,mg,12
4,Balance+ Precision Gut Repair & Microbiome Support,Papaya Extract (Papain enzyme),50.0,standard,enzyme,mg,13
4,Balance+ Precision Gut Repair & Microbiome Support,Fennel Seed Extract (4:1),40.0,standard,other,mg,14
4,Balance+ Precision Gut Repair & Microbiome Support,"C15:0 (Pentadecanoic Acid, Fatty15)",200.0,standard,lipid,mg,15
4,Balance+ Precision Gut Repair & Microbiome Support,Proprietary Probiotic Blend (10 Billion CFU),80.0,standard,probiotic,billion_cfu,16
5,Omega-3 DHA/EPA (Algal Source) Blend,Algal Phospholipid Matrix (carrier base),90.0,standard,lipid,mg,1
5,Omega-3 DHA/EPA (Algal Source) Blend,Liposomal DHA (Docosahexaenoic Acid) (Algal-derived),90.0,liposomal,lipid,mg,2
5,Omega-3 DHA/EPA (Algal Source) Blend,EPA (Eicosapentaenoic Acid) (Algal-derived),120.0,standard,lipid,mg,3
5,Omega-3 DHA/EPA (Algal Source) Blend,C15:0 (Pentadecanoic Acid),200.0,standard,lipid,mg,4
6,Probiotic Blend (10 Billion CFU),Lactobacillus acidophilus 1.0 Billion CFU,20.0,standard,probiotic,billion_cfu,1
6,Probiotic Blend (10 Billion CFU),Bifidobacterium longum 1.0 Billion CFU,20.0,standard,probiotic,iu,2
6,Probiotic Blend (10 Billion CFU),Bifidobacterium bifidum 1.0 Billion CFU,20.0,standard,probiotic,iu,3
6,Probiotic Blend (10 Billion CFU),Christensenella minuta (Next-Gen Keystone Species) 2.5,30.0,standard,other,mg,4
6,Probiotic Blend (10 Billion CFU),Bifidobacterium infantis 1.0 Billion CFU,20.0,standard,probiotic,iu,5
6,Probiotic Blend (10 Billion CFU),Lactobacillus plantarum 1.0 Billion CFU,20.0,standard,probiotic,billion_cfu,6
6,Probiotic Blend (10 Billion CFU),Lactobacillus rhamnosus GG 2.0 Billion CFU,20.0,standard,probiotic,billion_cfu,7
6,Probiotic Blend (10 Billion CFU),Inulin-FOS (Prebiotic Blend),10.0,standard,other,mg,8
7,Magnesium Synergy Matrix,Magnesium Bisglycinate,75.0,standard,mineral,iu,1
7,Magnesium Synergy Matrix,Magnesium L-Threonate,48.0,standard,mineral,iu,2
7,Magnesium Synergy Matrix,Magnesium Taurate,50.0,standard,mineral,iu,3
7,Magnesium Synergy Matrix,Magnesium Malate,65.0,standard,mineral,iu,4
7,Magnesium Synergy Matrix,Magnesium Citrate,40.0,standard,mineral,iu,5
7,Magnesium Synergy Matrix,Magnesium Orotate,22.0,standard,mineral,iu,6
8,MethylB Complete+™Methylated and Liposomal B Complex,Methylfolate (5-MTHF),0.4,standard,vitamin,mcg,1
8,MethylB Complete+™Methylated and Liposomal B Complex,Methylcobalamin (B12),0.5,standard,vitamin,mcg,2
8,MethylB Complete+™Methylated and Liposomal B Complex,Pyridoxal-5-Phosphate (B6),5.0,standard,vitamin,mg,3
8,MethylB Complete+™Methylated and Liposomal B Complex,Riboflavin-5-Phosphate (B2),5.0,standard,vitamin,mg,4
8,MethylB Complete+™Methylated and Liposomal B Complex,Thiamine HCL (B1),10.0,standard,vitamin,mg,5
8,MethylB Complete+™Methylated and Liposomal B Complex,Niacin (as Niacinamide),15.0,standard,vitamin,mg,6
9,BLAST+ Nitric Oxide Performance Stack,Liposomal L-Citrulline Malate (25% active),250.0,liposomal,amino_acid,mg,1
9,BLAST+ Nitric Oxide Performance Stack,Liposomal Methylfolate (5-MTHF),0.8,liposomal,vitamin,mcg,2
9,BLAST+ Nitric Oxide Performance Stack,Liposomal Methylcobalamin (B12),1.0,liposomal,vitamin,mg,3
9,BLAST+ Nitric Oxide Performance Stack,Liposomal Pyridoxal-5-Phosphate (B6),10.0,liposomal,vitamin,mg,4
9,BLAST+ Nitric Oxide Performance Stack,Liposomal Vitamin C,100.0,liposomal,vitamin,mg,5
9,BLAST+ Nitric Oxide Performance Stack,Micellar Beetroot Extract (40% active),200.0,micellar,other,mg,6
9,BLAST+ Nitric Oxide Performance Stack,Micellar BioPerine® (50% active),5.0,micellar,other,mg,7
9,BLAST+ Nitric Oxide Performance Stack,Nitrosigine® (Bonded Complex),150.0,standard,other,mg,8
10,Calm+ (Aptiigen Complex) Capsules,Micellar Ashwagandha Root Extract (KSM-66®),300.0,micellar,lipid,mg,1
10,Calm+ (Aptiigen Complex) Capsules,Micellar Rhodiola Rosea Extract,150.0,micellar,botanical,mg,2
10,Calm+ (Aptiigen Complex) Capsules,Micellar Schisandra Chinensis Extract,100.0,micellar,botanical,mg,3
10,Calm+ (Aptiigen Complex) Capsules,Holy Basil Extract (Ocimum sanctum),35.0,standard,botanical,mg,4
10,Calm+ (Aptiigen Complex) Capsules,Liposomal Saffron Extract (affron®),30.0,liposomal,other,mg,5
10,Calm+ (Aptiigen Complex) Capsules,Liposomal L-Theanine (Suntheanine®),150.0,liposomal,amino_acid,mg,6
10,Calm+ (Aptiigen Complex) Capsules,Liposomal GABA (PharmaGABA®),75.0,liposomal,other,mg,7
10,Calm+ (Aptiigen Complex) Capsules,Micellar Lion\'s Mane Extract (Hericium erinaceus),10.0,micellar,amino_acid,iu,8
10,Calm+ (Aptiigen Complex) Capsules,Micellar BioPerine® (Black Pepper Extract),5.0,micellar,other,mg,9
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Liposomal Melatonin (Extended-Release),3.0,liposomal,other,mg,1
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Tart Cherry Extract (10:1 Concentrate),500.0,standard,other,mg,2
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,5-HTP (Griffonia simplicifolia Extract),100.0,standard,other,mg,3
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,"L-Glycine (Pure, Pharmaceutical Grade)",3000.0,standard,amino_acid,mg,4
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Apigenin (Chamomile Extract),50.0,standard,botanical,mg,5
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Liposomal Magnesium Bisglycinate,200.0,liposomal,mineral,iu,6
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Micellar Broad-Spectrum CBD,25.0,micellar,other,mg,7
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Micellar CBN Isolate,10.0,micellar,other,mg,8
11,RELAX+ (Stress Relief & Restful Sleep) MethylatedLiposomal Capsules,Micellar BioPerine® (Black Pepper Extract),5.0,micellar,other,mg,9
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal Glutathione Complex (25% active),80.0,liposomal,amino_acid,mg,1
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal NAC Complex (25% active),40.0,liposomal,amino_acid,mg,2
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal Milk Thistle Complex (25% active),40.0,liposomal,botanical,mg,3
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal TUDCA Complex (25% active),40.0,liposomal,other,mg,4
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal Curcumin Complex (40% active),50.0,liposomal,botanical,mg,5
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal Berberine Complex (25% active),40.0,liposomal,botanical,mg,6
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Liposomal L-Methionine Complex (40% active),50.0,liposomal,amino_acid,mg,7
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Dandelion Root (50% active),20.0,micellar,botanical,mg,8
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Chlorella (50% active),20.0,micellar,botanical,mg,9
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Cilantro (50% active),20.0,micellar,other,mg,10
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Black Walnut (50% active),20.0,micellar,other,mg,11
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Pumpkin Seed (50% active),20.0,micellar,other,mg,12
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Artichoke (50% active),20.0,micellar,botanical,mg,13
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Clove (50% active),20.0,micellar,other,mg,14
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Garlic (50% active),20.0,micellar,botanical,mg,15
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Fulvic Acid (50% active),20.0,micellar,other,mg,16
12,"Clean+ (Detoxification, Liver Health, Fatty Liver & Cellular Cleansing)",Micellar Oregano Oil (50% active),20.0,micellar,botanical,mg,17
14,DigestiZorb+™ Enzyme Complex,Choline (Alpha-GPC 50%),60.0,standard,other,mg,1
14,DigestiZorb+™ Enzyme Complex,Inositol,200.0,standard,vitamin,mg,2
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Astragalus,400.0,standard,botanical,mg,1
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Cycloastragenol,50.0,standard,other,mg,2
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Centella Asiatica Extract,600.0,standard,other,mg,3
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Liposomal Vitamin D3 (Cholecalciferol),0.5,liposomal,vitamin,mcg,4
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Liposomal Vitamin K2 (Menaquinone-7),0.1,liposomal,vitamin,mcg,5
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Liposomal Trans-Resveratrol,200.0,liposomal,botanical,mg,6
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,AC-11 (rainforest cat\'s claw extract),500.0,standard,lipid,mg,7
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Liposomal Vitamin C,500.0,liposomal,vitamin,mg,8
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Zinc Bisglycinate,30.0,standard,mineral,mg,9
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Korean Ginseng (Ginsenosides),200.0,standard,other,mg,10
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,B6 -- Pyridoxine,10.0,standard,vitamin,mg,11
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Liposomal B9 -- Methyl Folate (5-MTHF),0.8,liposomal,vitamin,mcg,12
15,Teloprime+ (Telomere and Mitochondrial Support) Capsules,Liposomal B12 -- (Methylcobalamin),2.0,liposomal,vitamin,mg,13
16,Omega-3 DHA/EPA (Algal Source) Blend,Algal Phospholipid Matrix (carrier base),90.0,standard,lipid,mg,1
16,Omega-3 DHA/EPA (Algal Source) Blend,Liposomal DHA (Docosahexaenoic Acid) (Algal-derived),90.0,liposomal,lipid,mg,2
16,Omega-3 DHA/EPA (Algal Source) Blend,EPA (Eicosapentaenoic Acid) (Algal-derived),120.0,standard,lipid,mg,3
16,Omega-3 DHA/EPA (Algal Source) Blend,C15:0 (Pentadecanoic Acid),200.0,standard,lipid,mg,4
17,DigestiZorb+™ Digestive Enzyme Complex,Protease (acid-stable blend),15.0,standard,enzyme,mg,1
17,DigestiZorb+™ Digestive Enzyme Complex,Amylase,20.0,standard,enzyme,mg,2
17,DigestiZorb+™ Digestive Enzyme Complex,Lipase,10.0,standard,enzyme,mg,3
17,DigestiZorb+™ Digestive Enzyme Complex,Lactase,10.0,standard,enzyme,mg,4
17,DigestiZorb+™ Digestive Enzyme Complex,Cellulase,5.0,standard,enzyme,mg,5
17,DigestiZorb+™ Digestive Enzyme Complex,Bromelain (from Pineapple extract),5.0,standard,enzyme,mg,6
17,DigestiZorb+™ Digestive Enzyme Complex,Papaya Extract (Papain enzyme),5.0,standard,enzyme,mg,7
17,DigestiZorb+™ Digestive Enzyme Complex,Micellar Ginger Root Extract (10:1),5.0,micellar,botanical,mg,8
17,DigestiZorb+™ Digestive Enzyme Complex,Fennel Seed Extract (4:1),3.0,standard,other,mg,9
17,DigestiZorb+™ Digestive Enzyme Complex,Black Pepper Extract (Bioperine®),2.0,standard,other,mg,10
18,FOCUS+ (Advanced Nootropic Formula) Capsules,"Lion\'s Mane Extract (Micellar) 30% Polysaccharides, 1%",500.0,standard,other,mg,1
18,FOCUS+ (Advanced Nootropic Formula) Capsules,Bacopa Monnieri Extract (Micellar) 50% Bacosides A & B,300.0,standard,botanical,mg,2
18,FOCUS+ (Advanced Nootropic Formula) Capsules,Paraxanthine (Liposomal) enfinity® or equivalent,100.0,standard,other,mg,3
18,FOCUS+ (Advanced Nootropic Formula) Capsules,L-Theanine (Liposomal) Suntheanine® or equivalent,200.0,standard,amino_acid,mg,4
18,FOCUS+ (Advanced Nootropic Formula) Capsules,CoQ10 - Ubiquinol (Liposomal) Kaneka QH® or equivalent,100.0,standard,cofactor,mg,5
18,FOCUS+ (Advanced Nootropic Formula) Capsules,"Ginkgo Biloba Extract (Micellar) 24% Flavone Glycosides,",120.0,standard,botanical,mg,6
18,FOCUS+ (Advanced Nootropic Formula) Capsules,"Rhodiola Rosea Extract (Micellar) 5% Rosavins, 2%",200.0,standard,botanical,mg,7
18,FOCUS+ (Advanced Nootropic Formula) Capsules,BioPerine® (Micellar) 95% Piperine - Black Pepper,10.0,standard,other,mg,8
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,Micellar Tongkat Ali (40% active),200.0,micellar,botanical,mg,1
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,Micellar Fadogia Agrestis (40% active),100.0,micellar,cofactor,mg,2
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,Micellar Ashwagandha (40% active),150.0,micellar,lipid,mg,3
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,Micellar Horny Goat Weed (40% active),50.0,micellar,other,mg,4
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,Micellar Shilajit (40% active),100.0,micellar,other,mg,5
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,L-Citrulline Malate (2:1),150.0,standard,amino_acid,mg,6
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,Zinc Bisglycinate,15.0,standard,mineral,mg,7
19,RISE+ (Male Libido & Testosterone Booster Formula) Methylated Liposomal Capsules,DIM (99% pure),100.0,standard,botanical,mg,8
20,FLEX + (Inflammation & Joint Health) Capsules,"EPA (Algal, Phospholipid-bound): 60mg",180.0,standard,lipid,mg,1
20,FLEX + (Inflammation & Joint Health) Capsules,bioavailable,250.0,standard,other,mg,2
20,FLEX + (Inflammation & Joint Health) Capsules,Liposomal Boswellia Serrata Extract (AprèsFlex® - 70%,150.0,liposomal,botanical,mg,3
20,FLEX + (Inflammation & Joint Health) Capsules,Quercetin Phytosome (Quercefit® - 20x enhanced,100.0,standard,botanical,mg,4
20,FLEX + (Inflammation & Joint Health) Capsules,Liposomal Hyaluronic Acid (Low molecular weight 50-200,60.0,liposomal,other,mg,5
20,FLEX + (Inflammation & Joint Health) Capsules,Liposomal Type II Collagen (UC-II® undenatured collagen),40.0,liposomal,other,mg,6
20,FLEX + (Inflammation & Joint Health) Capsules,Micellar MSM (Methylsulfonylmethane),75.0,micellar,other,mg,7
20,FLEX + (Inflammation & Joint Health) Capsules,(AstaPure® - 4mg active),15.0,standard,other,mg,8
20,FLEX + (Inflammation & Joint Health) Capsules,(20:1 concentration ratio),50.0,standard,other,mg,9
20,FLEX + (Inflammation & Joint Health) Capsules,Magnesium Bisglycinate Chelate (\~12mg elemental Mg),60.0,standard,mineral,iu,10
20,FLEX + (Inflammation & Joint Health) Capsules,Liposomal Vitamin D3 (5000 IU / 125mcg cholecalciferol),20.0,liposomal,vitamin,iu,11
20,FLEX + (Inflammation & Joint Health) Capsules,Liposomal Vitamin K2-MK7 (200mcg trans-isomer),10.0,liposomal,vitamin,mcg,12
20,FLEX + (Inflammation & Joint Health) Capsules,Ionic Boron (Calcium Fructoborate - 1mg elemental),5.0,standard,mineral,iu,13
20,FLEX + (Inflammation & Joint Health) Capsules,Micellar BioPerine® (95% piperine - black pepper,5.0,micellar,other,mg,14
20,FLEX + (Inflammation & Joint Health) Capsules,Liposomal PEA (Palmitoylethanolamide),20.0,liposomal,other,mg,15
20,FLEX + (Inflammation & Joint Health) Capsules,"Micellar Broad-Spectrum CBD (THC-free, hemp-derived)",25.0,micellar,other,mg,16
21,"IRON+ (Iron Absorption, Energy & Red Blood Cell Support) Capsules",Liposomal Vitamin D3 (Cholecalciferol),0.5,liposomal,vitamin,mcg,1
21,"IRON+ (Iron Absorption, Energy & Red Blood Cell Support) Capsules",Liposomal Vitamin K2 (Menaquinone-7),0.1,liposomal,vitamin,mcg,2
21,"IRON+ (Iron Absorption, Energy & Red Blood Cell Support) Capsules",Selenium (L-Selenomethionine),0.2,standard,mineral,iu,3
21,"IRON+ (Iron Absorption, Energy & Red Blood Cell Support) Capsules",Liposomal Vitamin C (Ascorbic Acid),500.0,liposomal,vitamin,mg,4
21,"IRON+ (Iron Absorption, Energy & Red Blood Cell Support) Capsules",Quercetin (Sophora japonica),250.0,standard,botanical,mg,5
21,"IRON+ (Iron Absorption, Energy & Red Blood Cell Support) Capsules",Micellar BioPerine® (Black Pepper Extract),50.0,micellar,other,mg,6
